transcription,transcription_hubert
IT TAKES A LOT OF HELP TO FINISH THESE,IT TAKES A LOT OF HELP TO FINISH THESE
MARK THE SPOT WITH A SIGN PAINTED RED,MARK THE SPOT WHERE THE SIGN PAINTED RED
TAKE TWO SHARES AS A FAIR PROFIT,TAKE TWO SHARES AS A FAIR PROFIT
THE FUR OF CATS GOES BY MANY NAMES,THE FUR OF CATS GOES BY MANY NAMES
NORTH WINDS BRING COLDS AND FEVERS,NORTH WINDS BRING COLDS AND FEVERS
HE ASKS NO PERSON TO VOUCH FOR HIM,HE ASKS NO PERSON TO VOUCH FOR HIM
GO NOW AND COME HERE LATER,GO NOW AND COME HERE LATER
A SASH OF GOLD SILK WILL TRIM HER DRESS,A SASH OF GOLD SILK WIL TRIM HER DRES
SOAP CAN WASH MOST DIRT AWAY,SOAP CAN WASH MOST DIRT AWAY
THAT MOVE MEANS THE GAME IS OVER,THA MOVE MEANS THE GAME IS OVER
HE WROTE DOWN A LONG LIST OF ITEMS,HE WROTE DOWN A LONG LIST OF ITEMS
A SIEGE WILL CRACK THE STRONG DEFENCE,A SIEGE WIL CRACK THE STRONG DEFENCE
GRAPE JUICE AND WATER MIX WELL,GRAPE JUICE AND WATER MIX WEL
ROADS ARE PAVED WITH STICKE TAR,ROADS ARE PAVED WITH STICKY TAR
FAKE STONES SHINE BUT COST LITTLE,FAKE STONES SHINE BUT COST LITLE
THE DRIP OF THE RAIN MADE A PLEASANT SOUND,THE DRIP OF THE RAIN MADE A PLEASANT SOUND
SMOKE POURED OUT OF EVERY CRACK,SMOKE POURED OUT OF EVERY CRACK
SERVE THE HOT RUM TO THE TIRED HEROES,SERVE THE HOT RUM TO THE TIRED HEROES
MUCH OF THIS STORY MAKES GOOD SENSE,MUCH OF THE STORY MAKES GOD SENSE
THE SUN CAME UP TO LIGHT THE EASTERN SKY,THE SUN CAME UP TO LIGHT THE EAST AND SKY
HEAVE THE LINE OVER THE PORT SIDE,HEAVE THE LINE OVER THE PORT SIDE
A LATHE CUTS AND TRIMS ANY WOOD,A LATHE CUTS AND TRIMS ANY WOUD
IT'S A DENSE CROWD IN TWO DISTINCT WAYS,IT'S A DENSE CROWD INTO DISTINCT WAYS
HIS HIP STRUCK THE KNEE OF THE NEXT PLAYER,HIS HIP STRUCK THE KNE OF THE NEXT PLAYER
THE STALE SMELL OF OLD BEER LINGERS,THE STALE SMEL OF OLD BERLINGERS
THE DESK WAS FIRM ON THE SHAKY FLOOR,THE DESK WAS FIRM ON THE SHAKY FLOR
IT TAKES HEAT TO BRING OUT THE ODOR,IT TAKES HEAT TO BRING OUT THE ODOR
BEEF IS SCARCER THAN SOME LAMB,BEF IS SCARCER THAN SOME LAMB
RAISE THE SAIL AND STEER THE SHIP NORTHWARD,RAISE THE SAIL AND STER THE SHIP NORTHWARD
A CONE COSTS FIVE CENTS ON MONDAYS,A CON COSTS FIVE CENTS ON MONDAYS
A POD IS WHAT PEAS ALWAYS GROW IN,A POD IS WHAT PEAS ALWAYS GROW IN
JERK THAT DART FROM THE CORK TARGET,JERK THAT DART FROM THE CORK TARGET
NO CEMENT WILL HOLD HARD WOOD,NO CEMENT WIL HOLD HARD WOD
WE NOW HAVE A NEW BASE FOR SHIPPING,WE NOW HAVE A NEW BASE FOR SHIPING
A LIST OF NAMES IS CARVED AROUND THE BASE,A LIST OF NAMES IS CARVED AROUND THE BASE
THE SHEEP WERE LED HOME BY A DOG,THE SHEP WERE LED HOME BY A DOG
THREE FOR A DIME,THRE FOR A DIME
THE YOUNG PEDDLER CRIED,THE YOUNG PEDLAR CRIED
THE SENSE OF SMELL IS BETTER THAN THAT OF TOUCH,THE SENSE OF SMEL IS BETER THAN THAT OF TOUCH
NO HARDSHIP SEEMED TO MAKE HIM SAD,NO HARDSHIP SEMED TO MAKE HIM SAD
GRACE MAKES UP THE LACK OF BEAUTY,GRACE MAKES UP FO LACK OF BEAUTY
NODGE GENTLY BUT WAKE HER NOW,NUDGE GENTLY BUT WAKE HER NOW
THE NEWS STRUCK DOUBT INTO RESTLESS MINDS,THE NEWS STRUCK DOUT INTO RESTLES MINDS
ONCE WE STOOD BESIDE THE SHORE,ONCE WE STOD BESIDE THE SHORE
A CHINK IN THE WALL ALLOWED A DRAFT TO BLOW,A CHINK IN THE WAL ALOWED A DRAUGHT TO BLOW
FASTEN TWO PINS ON EACH SIDE,FASTEN TWO PINS ON EACH SIDE
A COLD DIP RESTORES HEALTH AND ZEST.,A COLD DEAR PREST TOR'S HEALTH AND ZEST
HE TAKES THE OATH OF OFFICE EACH MARCH,HE TAKES THE OATH OF OFICE EACH MARCH
THE SAND DRIFTS OVER THE SILL OF THE OLD HOUSE,THE SAND DRIFTS OVER THE SILS OF THE OLD HOUSE
THE POINT OF THE STEEL PEN WAS BENT AND TWISTED,THE POINT OF THE STEL PEN WAS BENT AND TWISTED
THERE IS A LAG BETWEEN THOUGHT AND ACT,THERE IS A LAG BETWEN THOUGHT AND ACT
SEED IS NEEDED TO PLANT THE SPRING CORN,SED IS NEDED TO PLANT THE SPRING CORN
DRAW THE CHART WITH HEAVY BLACK LINES,DRAW THE CHART WITH HEAVY BLACK LINES
THE BOY OWED HIS PAL THIRTY CENTS,THE BOY OWES HIS PADLE THIRTY CENTS
THE CHAP SLIPPED INTO THE CROWD AND WAS LOST,THE CHAP SLIPED INTO THE CROWD AND WAS LOST
HATS ARE WORN TO TEA AND NOT TO DINNER,HATS ARE WORN TO TEA AND NOT TO DINER
THE RAMP LED UP TO THE WIDE HIGHWAY,THE RAMP LED UP TO THE WIDE HIGHWAY
BEAT THE DUST FROM THE RUG ONTO THE LAWN,BEAT THE DUST FROM THE RUG ON TO THE LAWN
SAY IT SLOWLY BUT MAKE IT RING CLEAR,SAY IT SLOWLY BUT MAKE IT RING CLEAR
THE STRAW NEST HOUSED FIVE ROBINS,THE STRUNEST HOUSED FIVE ROBINS
SCREEN THE PORCH WITH WOVEN STRAW MATS,SCREN THE PORCH WITH WOVEN STRAW MATS
THIS HORSE WILL NOSE HIS WAY TO THE FINISH,THIS HORSE WIL NOSE HIS WAY TO THE FINISH
THE DRY WAX PROTECTS THE DEEP SCRATCH,THE DRY WAX PROTECTS THE DEP SCRATCH
HE PICKED UP THE DICE FOR A SECOND ROLL,HE PICKED UP THE DICE FOR A SECOND ROW
THESE COINS WILL BE NEEDED TO PAY HIS DEBT,THESE COINS WIL BE NEDED TO PAY HIS DEBT
THE NAG PULLED THE FRAIL CART ALONG,THE NAG PULED THE FRAIL CART ALONG
TWIST THE VALVE AND RELEASE HOT STEAM,TWIST THE VALVE AND RELEASE HOT STEAM
THE VAMP OF THE SHOE HAD A GOLD BUCKLE,THE VAMP OF THE SHOE HAD A GOLD BUCKLE
THE SMELL OF BURNED RAGS ITCHES MY NOSE,THE SMEL OF BURNED RAGS WHICH IS MY NOSE
NEW PANTS LACK CUFFS AND POCKETS,NEW PANTS LACK CUFS AND POCKETS
THE MARSH WILL FREEZE WHEN COLD ENOUGH,THE MARSH WIL FREZE WHEN COLD ENOUGH
THEY SLICE THE SAUSAGE THIN WITH A KNIFE,THEY SLICE THE SAUSAGE THIN WITH A KNIFE
THE BLOOM OF THE ROSE LASTS A FEW DAYS,THE BLOM OF THE ROSE LASTS A FEW DAYS
A GREY MARE WALKED BEFORE THE COLT,A GREY MARE WALKED BEFORE THE COLT
BREAKFAST BUNS ARE FINE WITH A HOT DRINK,BREAKFAST BUNZAR FINE WITH A HOT DRINK
BOTTLES HOLD FOUR KINDS OF RUM,BOTLES HOLD FOUR KINDS OF RUM
THE MAN WORE A FEATHER IN HIS FELT HAT,THE MAN WORE A FEATHER IN HIS FELT HAT
HE WHEELED THE BIKE PAST THE WINDING ROAD,HE WHELED THE BIKE PAST THE WINDING ROAD
DROP THE ASHES ON THE WORN OLD RUG,DROP THE ASHES ON THE WORN OLD DRUG
THE DESK AND BOTH CHAIRS WERE PAINTED TAN,THE DESK AND BOTH CHAIRS WERE PAINTED TAN
THROW OUT THE USED PAPER CUP AND PLATE,THROW OUT THE USED PAPER CUP AND PLATE
A CLEAN NECK MEANS A NEAT COLLAR,A CLEAN NECK MEANS A NEAT COLAR
THE COUCH COVER AND HALL DRAPES WERE BLUE,THE COUCH COVER AND WAL DRAPES WERE BLUE
THE STEMS OF THE TALL GLASSES CRACKED AND BROKE,THE STEMS OF THE TAL GLASES CRACKED AND BROKE
THE WALL PHONE RANG LOUD AND OFTEN,THE WOL PHONE RANG LOUD AND OFTEN
THE CLOTHES DRIED ON A THIN WOODEN RACK,THE CLOTHES DRIED ON A THIN WODEN RACK
TURN OUT THE LANTERN WHICH GIVES US LIGHT,TURN OUT THE LANTERN WHICH GIVES US LIGHT
THE CLEAT SANK DEEPLY INTO THE SOFT TURF,THE CLET SANK DEPLY INTO THE SOFT TURF
THE BILLS WERE MAILED PROMPTLY ON THE TENTH OF THE MONTH,THE BILS WERE MAILED PROMPTLY ON THE TENTH OF THE MONTH
TO HAVE IS BETTER THAN TO WAIT AND HOPE,TO HAVE IS BETER THAN TO WAIT AND HOPE
THE PRICE IS FAIR FOR A GOOD ANTIQUE CLOCK,THE PRICE IS FAIR FOR A GOUDANTIQUE CLOCK
THE MUSIC PLAYED ON WHILE THEY TALKED,THE MUSIC PLAYED ON WHILE THEY TALKED
DISPENSE WITH A VEST ON A DAY LIKE THIS,DISPENSE WITH A VEST ON A DAY LIKE THIS
THE BUNCH OF GRAPES WAS PRESSED INTO WINE,THE BUNCH OF GRAPES WAS PRESED INTO WINE
HE SENT THE FIGS,HE SENT THE FIGS
BUT KEPT THE RIPE CHERRIES,BUT KEPT THE RIPE CHERIES
THE HINGE ON THE DOOR CREAKED WITH OLD AGE,THE HINGE ON THE DOR CREAKED WITH OLD AGE
THE SCREEN BEFORE THE FIRE KEPT IN THE SPARKS,THE SCREN BEFORE THE FIRE KEPT IN THE SPARKS
FLY BY NIGHT AND YOU WASTE LITTLE TIME,FLY BY NIGHT AND YOU WASTE LITLE TIME
THICK GLASSES HELPED HIM READ THE PRINT,THICK GLASES HELPED HIM READ THE PRINT
BIRTH AND DEATH MARKS THE LIMITS OF LIFE,BIRTH AND DEATH MARKS THE LIMITS OF LIFE
THE CHAIR LOOKED STRONG BUT HAD NO BOTTOM,THE CHAIR LOKED STRONG BUT HAD NO BOTOM
THE KITE FLEW WILDLY IN THE HIGH WIND,THE KITE FLEW WILDLY AND THE HIGH WIND
A FUR MUFF IS STYLISH ONCE MORE,A FUR MUF IS STYLISH ONCE MORE
THE TIN BOXS HELD PRICELESS STONES,THE TIN BOX HELD PRICELES STONES
WE NEED AN END OF ALL SUCH MATTER,WE NED AN END OF AL SUCH MATER
THE CASE WAS PUZZLING TO THE OLD AND WISE,THE CASE WAS PUZLING TO THE OLD AND WISE
THE BRIGHT LANTERNS WERE GAY ON THE DARK LAWN,THE BRIGHT LANTERNS WERE GAY ON THE DARK LAWN
WE DON'T GET MUCH MONEY BUT WE HAVE FUN,WE DON'T GET MUCH MONEY BUT WE HAVE FUN
THE YOUTH DROVE WITH ZEST,THE YOUTH DROVE WITH ZEST
BUT LITTLE SKILL,BUT LITLE SKIL
FIVE YEARS HE LIVED WITH A SHAGGY DOG,FIVE YEARS HE LIVED WITH A SHAGY DOG
A FENCE CUT THROUGH THE CORNER LOT,A FENCE CUTS THROUGH THE CORNEL LOT
THE WAY TO SAVE MONEY IS NOT TO SPEND MUCH,THE WAY TO SAVE MONEY IS NOT TO SPEND MUCH
SHUT THE HATCH BEFORE THE WAVES PUSH IT IN,SHUT THE HATCH BEFORE THE WAVES PUSH IT IN
THE ODOR OF SPRING MAKES YOUNG HEARTS JUMP,THE ODOUR OF SPRING MAKES YOUNG HEARTS JUMP
CRACK THE WALNUT WITH YOUR SHARP SIDE TEETH,CRACK THE WALNUT WITH YOUR SHARP SIDE TETH
HE OFFERED PROOF IN THE FORM OF A LARGE CHART,HE OFERED PROF IN THE FORM OF A LARGE CHART
SEND THE STUFF IN A THICK PAPER BAG,SEND THE STAF IN A THICK PAPER BAG
A QUART OF MILK IS WATER FOR THE MOST PART,A QUART OF MILK IS WATER FOR THE MOST PART
THEY TOLD WILD TALES TO FRIGHTEN HIM,THEY TOLD WILD TALES TO FRIGHTEN HIM
THE THREE STORY HOUSE WAS BUILT OF STONE,THE THRE STORY HOUSE WAS BUILT OF STONE
IN THE REAR OF THE GROUND FLOOR WAS A LARGE PASSAGE,IN THE REAR OF THE GROUND FLOR WAS A LARGE PASAGE
A MAN IN A BLUE SWEATER SAT AT THE DESK,A MAN IN A BLUE SWEATER SAT AT THE DESK
OATS ARE A FOOD EATEN BY HORSE AND MAN,OTSERA FUDEATEN BY HORSE AND MAN
THEIR EYELIDS DROOP FOR WANT OF SLEEP,THEIR EYELIDS DROP FOR WANT OF SLEP
A SIP OF TEA REVIVES HIS TIRED FRIEND,A SIP OF TEA REVIVES HIS TIRED FRIEND
THERE ARE MANY WAYS TO DO THESE THINGS,THERE ARE MANY WAYS TO DO THESE THINGS
TUCK THE SHEET UNDER THE EDGE OF THE MAT,TUCK THE SHET UNDER THE EDGE OF THE MAT
A FORCE EQUAL TO THAT WOULD MOVE THE EARTH,A FORCE EQUAL TO THAT WOULD MOVE THE EARTH
WE LIKE TO SEE CLEAR WEATHER,WE LIKE TO SE CLEAR WEATHER
THE WORK OF THE TAILOR IS SEEN ON EACH SIDE,THE WORK OF THE TAILOR IS SEN ON EACH SIDE
TAKE A CHANCE AND WIN A CHINA DOLL,TAKE A CHANCE AND WIN A CHINA DOE
SHAKE THE DUST FROM YOUR SHOES,SHAKE THE DUST FROM YOUR SHOES
STRANGER,STRANGER
SHE WAS KIND TO SICK OLD PEOPLE,SHE WAS KIND TO SICK OLD PEOPLE
THE SQUARE WOODEN CRATE WAS PACKED TO BE SHIPPED,THE SQUARE WODEN CRATE WAS PACKED TO BE SHIPED
THE DUSTY BENCH STOOD BY THE STONE WALL,THE DUSTY BENCH STOD BY THE STONE WAL
WE DRESS TO SUIT THE WEATHER OF MOST DAYS,WE DRES TO SUIT THE WEATHER OF MOST DAYS
SMILE WHEN YOU SAY NASTY WORDS,SMILE WHEN YOU SAY NASTY WORDS
A BOWL OF RICE IS FREE WITH CHICKEN STEW,A BOWL OF RICE IS FRE WITH CHICKEN STEW
THE WATER IN THIS WELL IS A SOURCE OF GOOD HEALTH,THE WATER IN THIS WEL IS A SOURCE OF GOD HEALTH
TAKE SHELTER IN THIS TENT,TAKE SHELTER IN THIS TENT
BUT KEEP STILL,BUT KEP STIL
THAT GUY IS THE WRITER OF A FEW BANNED BOOKS,THAT GUY IS THE WRITER OF A FEWBAND BOKS
THE LITTLE TALES THEY TELL ARE FALSE,THE LITLE TALES THEY TEL ARE FOLS
THE DOOR WAS BARRED,THE DOR WAS BARED
LOOKED,LOCKED
AND BOLTED AS WELL,AND BOLTIED AS WEL
RIPE PEARS ARE FIT FOR A QUEEN'S TABLE,RIPE PEARS ARE FIT FOR A QUEN'S TABLE
A BIG WET STAIN WAS ON THE ROUND CARPET,HER BIGUETE STAIN WAS ON THE ROUND CARPET
THE KITE DIPPED AND SWAYED,THE KITE DIPED AND SWAYED
BUT STAYED ALOFT,BUT STAYED ALOFT
THE PLEASANT HOURS FLY BY MUCH TOO SOON,THE PLEASANT HOURS FLY BY MUCH TO SON
THE ROOM WAS CROWDED WITH A WILD MOB,THE ROM WAS CROWDED WITH A WILD MOB
THIS STRONG ARM SHALL SHIELD YOUR HONOR,THIS STRONG ARM SHAL SHIELD YOUR HONOUR
SHE BLUSHED WHEN HE GAVE HER A WHITE ORCHID,SHE BLUSHED WHEN HE GAVE HER A WHITE TORKID
THE BEETLE DRONED IN THE HOT JUNE SUN,THE BETLE DRONED IN THE HOT JUNE SUN
PRESS THE PEDAL WITH YOUR LEFT FOOT,PRES THE PEDLE WITH YOUR LEFT FOT
NEAT PLANS FAIL WITHOUT LUCK,NEAT PLANS FAIL WITHOUT LUCK
THE BLACK TRUNK FELL FROM THE LANDING,THE BLACK TRUNK FEL FROM THE LANDING
THE BANK PRESSED FOR PAYMENT OF THE DEBT,THE BANK PRESED FOR PAYMENT OF THE DEBT
THE THEFT OF THE PEARL PIN WAS KEPT SECRET,THE THEFT OF THE PEARL PIN WAS KEPT SECRET
SHAKE HANDS WITH THIS FRIENDLY CHILD,SHAKE HANDS WITH THIS FRIENDLY CHILD
THE VAST SPACE STRETCHED INTO THE FAR DISTANCE,THE VAST SPACE STRETCHED INTO THE FAR DISTANCE
A RICH FARM IS RARE IN THIS SANDY WASTE,A RICH FARM IS RARE IN THIS SANDY WASTE
HIS WIFE GRIN EARNED MANY FRIENDS,HIS WIDE GRINER AND MANY FRIENDS
FLAX MAKES A FINE BRAND OF PAPER,FLAX MAKES A FINE BRAND OF PAPER
HURDLE THE PIT WITH THE AID OF A LONG POLE,HURDLE THE PIT WITH THE AID OF A LONG POLE
A STRONG BID MAY SCARE YOUR PARTNER STIFF,A STRONG BID MAY SCARE YOUR PARTNER STIF
EVEN A JUST CAUSE NEEDS POWER TO WIN,EVEN A JUST CAUSE NEDS POWER TO WIN
PEEP UNDER THE TENT AND SEE THE CLOWNS,PEP UNDER THE TENT AND SE THE CLOWNS
THE LEAF DRIFTS ALONG WITH A SLOW SPIN,THE LEAF DRIFTS ALONG WITH A SLOW SPIN
CHEAP CLOTHES ARE FLASHY BUT DON'T LAST,CHEAP CLOTHES ARE FLASHY BUT IT DON'T LAST
A THING OF SMALL NOTE CAN CAUSE DESPAIR,A THING OF SMAL NOTE CAN CAUSE DESPAIR
FLOOD THE MAILS WITH REQUESTS FOR THIS BOOK,FLOD THE MAILS WITH REQUESTS FOR THIS BOK
A THICK COAT OF BLACK PAINT COVERED ALL,A THICK COAT OF BLACK PAINT GOVERDOL
THE PENCIL WAS CUT TO BE SHARP AT BOTH ENDS,THE PENCIL WAS CUT TO BE SHARP AT BOTH ENDS
THOSE LAST WORDS WERE A STRONG STATEMENT,THOSE LAST WORDS WERE A STRONG STATEMENT
HE WROTE HIS NAME BOLDLY AT THE TOP OF THE SHEET,HE WROTE HIS NAME BOLDLY AT THE TOP OF THE SHET
DILL PICKLES ARE SOUR BUT TASTE FINE,DIL PICKLES ARE SOUR BUT TASTE FINE
DOWN THAT ROAD IS THE WAY TO THE GRAIN FARMER,DOWN THAT ROAD IS THE WAY TO THE GRAIN FARMER
EITHER MUD OR DUST ARE FOUND AT ALL TIMES,EITHER MUD OR DUST ARE FOUND AT AL TIMES
THE BEST METHOD IS TO FIX IT IN PLACE WITH CLIPS,THE BEST METHOD IS TO FIX IT IN PLACE WITH CLIPS
IF YOU MUMBLE YOUR SPEECH WILL BE LOST,IF YOU MUMBLE YOUR SPECH WIL BE LOST
AT NIGHT THE ALARM ROUSED HIM FROM A DEEP SLEEP,AT NIGHT THE ALARM ROUSED HIM FROM A DEP SLEP
READ JUST WHAT THE METER SAYS,READ JUST WHAT THE METER SAYS
FILL YOUR PACK WITH BRIGHT TRINKETS FOR THE POOR,FIL YOUR PACK WITH BRIGHT TRINKETS FOR THE POR
THE SMALL RED NEON LAMP WENT OUT,THE SMAL RED NION LAMP WENT OUT
CLAMS A SMALL ROUND SOFT AND TASTY,CLAMS ARE SMAL ROUND SOFT AND TASTY
THE FAN WHIRLED ITS ROUND BLADES SOFTLY,THE FAN WIRLED ITS ROUND BLADES SOFTLY
THE LINE WHERE THE EDGES JOIN WAS CLEAN,THE LINE WHERE THE EDGES JOIN WAS CLEAN
BREATHE DEEP AND SMELL THE PINY AIR,BREATHE DEP AND SMEL THE PINY AIR
IT MATTERS NOT IF HE READS THESE WORDS OR THOSE,IT MATERS NOT IF HE READS THESE WORDS OR THOSE
A BROWN LEATHER BAG HUNG FROM ITS STRAP,A BROWN LEATHER BAG HUNG FROM ITS STRAP
HE TOAD AND A FROG ARE HARD TO TELL APART,A TOAD AND A FROG ARE HARD TO TEL A PART
A WHITE SILK JACKET GOES WITH ANY SHOES,A WHITE SILK JACKET GOES WITHANY SHOES
A BREAK IN THE DAM ALMOST CAUSED A FLOOD,A BREAK IN THE DAM ALMOST CAUSED A FLOD
PAINT THE SOCKETS IN THE WALL DULL GREEN,PAINT THE SOCKETS IN THE WAL DUL GREN
THE CHILD CRAWLED INTO THE DENSE GRASS,THE CHILD CRAWLED INTO THE DENSE GRAS
BRIBES FAIL WHERE HONEST MEN WORK,BRIBES FAIL WHERE HONEST MEN WORK
TRAMPLE THE SPARK,TRAMPLE THE SPARK
ELSE THE FLAMES WILL SPREAD,ELSE THE FLAMES WIL SPREAD
THE HILT OF THE SWORD WAS CARVED WITH FINE DESIGNS,THE HILT OF THE SWORD WAS CARVED WITH FINE DESIGNS
A ROUND HOLE WAS DRILLED THROUGH THE THIN BOARD,A ROUND HOLE WAS DRILED THROUGH THE THIN BOARD
FOOTPRINTS SHOWED THE PATH HE TOOK UP THE BEACH,FOTPRINTS SHOWED THE PATH HE TOK UP THE BEACH
SHE WAS WAITING AT MY FRONT LAWN,SHE WAS WAITING AT MY FRONT LAWN
A VENT NEAR THE EDGE BROUGHT IN FRESH AIR,A VENT NEAR THE EDGE BROUGHT IN FRESH AIR
PROD THE OLD MULE WITH A CROOKED STICK,CROWED THE OLD MULE WITH A CROKED STICK
IT IS A BAND OF STEEL THREE INCHES WIDE,IT IS A BAND OF STEL THRE INCHES WIDE
THE PIPE RAN ALMOST THE LENGTH OF THE DITCH,THE PIPE RAN ALMOST THE LENGTH OF THE DITGE
IT WAS HIDDEN FROM SIGHT BY A MASS OF LEAVES AND SHRUBS,IT WAS HIDEN FROM SIGHT BY A MAS OF LEAVES AND SHRUBS
THE WEIGHT OF THE PACKAGE WAS SEEN ON THE HIGH SCALE,THE WEIGHT OF THE PACKAGE WAS SEN ON THE HIGH SCALE
WAKE AND RISE,WAKE AND RISE
AND STEP INTO THE GREEN OUTDOORS,AND STEP INTO THE GREN OUT DORS
THE GREEN LIGHT IN THE BROWN BOX FLICKERED,THE GREN LIGHT IN THE BROWN BOX FLICKERED
THE BRASS TUBE CIRCLED THE HIGH WALL,THE BRAS TUBE CIRCLED THE HIGH WAL
THE LOBES OF HER EARS WERE PIERCED TO HOLD RINGS,THE LOBES OF HER EARS WERE PIERCED TO HOLD RINGS
HOLD THE HAMMER NEAR THE END TO DRIVE THE NAIL,HOLD THE HAMER NEAR THE END TO DRIVE THE NAIL
NEXT SUNDAY IS THE TWELFTH OF THE MONTH,NEXT SUNDAY IS THE TWELFTH OF THE MONTH
EVERY WORD IN PHRASE HE SPEAKS IS TRUE,EVERY WORD AND PHRASE HE SPEAKS IS TRUE
HE PUT HIS LAST CARTRIDGE INTO THE GUN AND FIRED,HE PUT HIS LAST CARTRIDGE INTO THE GUN AND FIRED
THEY TOOK THEIR KIDS FROM THE PUBLIC SCHOOL,THEY TOK THEIR KIDS FROM THE PUBLIC SCHOL
DRIVE THE SCREW STRAIGHT INTO THE WOOD,DRIVE THE SCREW STRAIGHT INTO THE WOD
KEEP THE HATCH TIGHT ON THE WATCH CONSTANT,KEP THE HATCH TIGHT AND THE WATCH CONSTANT
SEVER THE TWINE WITH A QUICK SNIP OF THE KNIFE,SEVER THE TWINE WITH A QUICK SNIP OF THE KNIFE
PAPER WILL DRY OUT WHEN WET,PAPER WIL DRY OUT WHEN WET
SLIDE THE CATCH BACK AND OPEN THE DESK,SLIDE THE CATCH BACK AND OPEN THE DESK
HELP THE WEAK TO PRESERVE THEIR STRENGTH,HELP THE WEAK TO PRESERVE THEIR STRENGTH
A SULLEN SMILE GETS FEW FRIENDS,A SILENT SMILE GETS FEW FRIENDS
STOP WHISTLING AND WATCH THE BOYS MARCH,STOP WHISTLING AND WATCH THE BOYS MARCH
JERK THE CORD,JERK THE CORD
AND OUT TUMBLES THE GOLD,AND OUT TUMBLES THE GOLD
SLIDE THE TRAY ACROSS THE GLASS TOP,SLIDE THE TRAY ACROS THE GLAS TOPE
THE CLOUD MOVED IN A STATELY WAY AND WAS GONE,THE CLOUD MOVED IN A STATELY WAY AND WAS GONE
LIGHT MAPLE MAKES FOR A SWELL ROOM,LIGHT MAPLE MAKES FOR A SWEL ROM
SET THE PEACE HERE AND SAY NOTHING,SET THE PEACE HEAR AND SAY NOTHING
DULL STORIES MAKE HER LAUGH,DUL STORIES MAKE HER LAUGH
A STIFF CORD WILL DO TO FASTEN YOUR SHOE,A STIF CORD WIL DO TO FASTEN YOUR SHOE
GET THE TRUST FUND TO THE BANK EARLY,GET THE TRUST FUND TO THE BANK EARLY
CHOOSE BETWEEN THE HIGH ROAD AND THE LOW,CHOSE BETWEN THE HIGH ROAD AND THE LOW
A PLEA FOR FUNDS SEEMS TO COME AGAIN,A PLEA FOR FUNDS SEMS TO COME AGAIN
HE LENT HIS COAT TO THE TALL GAUNT STRANGER,HE LENT HIS COAT TO THE TAL GAUNT STRANGER
THERE IS A STRONG CHANCE IT WILL HAPPEN ONCE MORE,THERE IS A STRONG CHANCE IT WIL HAPEN ONCE MORE
THE DUKE LEFT THE PARK IN A SILVER COACH,THE DUKE LEFT THE PARK IN A SILVER COACH
GREET THE NEW GUESTS AND LEAVE QUICKLY,GRET THE NEW GUESTS AND LEAVE QUICKLY
WHEN THE FROST HAS COME IT IS TIME FOR TURKEY,WHEN THE FROST HAS COME IT IS TIME FOR TURKEY
SWEET WORDS WORK BETTER THAN FIERCE,SWET WORDS WORK BETER THAN FEARS
A THIN STRIPE RUNS DOWN THE MIDDLE,A FIN STRIPE RUNS DOWN THE MIDLE
A SIX COMES UP MORE OFTEN THAN A TEN,A SIX COMES UP MORE OFTEN THAN A TEN
LUSH FERN GROW ON THE LOFTY ROCKS,LUSH FERNS GROW ON THE LOFTY ROCKS
THE RAM SCARED THE SCHOOL CHILDREN OFF,THE RAM SCARED THE SCHOL CHILDREN OF
THE TEAM WITH THE BEST TIMING LOOKS GOOD,THE TEAM WITH THE BEST TIMING LOK GOD
THE FARMER SWAPPED HIS HORSE FOR A BROWN OX,THE FARMER SWOPED HIS HORSE FOR A BROWN OX
SIT ON THE PERCH AND TELL THE OTHERS WHAT TO DO,SIT ON THE PERCH AND TEL THE OTHERS WHAT TO DO
A STEEP TRAIL IS PAINFUL FOR OUR FEET,A STEP TRAIL IS PAINFUL FOR OUR FET
THE EARLY PHASE OF LIFE MOVES FAST,THE EARLY PHASE OF LIFE MOVES FAST
GREEN MOSS GROWS ON THE NORTHERN SIDE,GREN MOS GROWS ON THE NORTHERN SIDE
TEA IN THIN CHINA HAS A SWEET TASTE,TEA IN THIN CHINA HAS A SWET TASTE
PITCH THE STRAW THROUGH THE DOOR OF THE STABLE,PITCH THE STRAW THROUGH THE DOR OF THE STABLE
THE LATCH ON THE BACK GATE NEEDED A NAIL,THE LATCH ON THE BACK GATE NEDED A NAIL
THE GOOSE WAS BROUGHT STRAIGHT FROM THE OLD MARKET,THE GOSE WAS BROUGHT STRAIGHT FROM THE OLD MARKET
THE SINK IS THE THING IN WHICH WE PILE DISHES,THE SINK IS THE THING IN WHICH WE PILE DISHES
A WHIFF OF IT WILL CURE THE MOST STUBBORN COLD,A WHIF OF IT WIL KIL TA MOST STUBORN COLD
THE FACTS DON'T ALWAYS SHOW WHO IS RIGHT,THE FACTS DON'T ALWAYS SHOW WHO IS RIGHT
SHE FLAPS HER CAPE AS SHE PARADES THE STREET,SHE FLAPS HER GAPE AS SHE PARADES THE STRET
THE LOSS OF THE CRUISER WAS A BLOW TO THE FLEET,THE LOS OF THE CRUISER WAS A BLOW TO THE FLET
LOOP THE BRAID TO THE LEFT AND THEN OVER,LOP THE BRAID TO THE LEFT AND THEN OVER
PLEAD WITH THE LAWYER TO DROP THE LOST CAUSE,PLEAD WITH THE LAWYER TO DROP THE LOST CAUSE
