transcription,transcription_whisper_base
HE BROKE HIS TIES WITH GROUPS OF FORMER FRIENDS," The feet are full of the ocean, but not bad."
THEY FLOATED ON THE RAFT TO SUN THEIR WIDE BACKS, The most important aspect of the time.
THE MAP HAD AN X THAT MEANT NOTHING," You're an official, you're an ax."
WHITINGS OF SMALL FISH CAUGHT IN NETS," So, you should have passed."
SOME ADS SERVE TO CHEAT BUYERS, Trotting the bandage back around.
JERK THE ROPE AND THE BELL RINGS WEAKLY," If you have seen my chest, I will stand next to you."
MADAM THIS IS THE BEST BRAND OF CORN," The land of the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, the sun, sun, the sun, the sun, sun, the sun, sun, the sun, sun, the sun, sun, the sun, sun, the sun, sun, sun, the sun, sun, sun, the sun, sun, sun, sun, sun, sun, sun, sun"
ON THE ISLANDS THE SEA BREEZE IS SOFT AND MILD THE PLAY BEGAN AS SOON AS WE SAT DOWN," The blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah, blah"
THIS WILL LEAD THE WORLD TO MORE SOUND AND FURY, The shrapnel is the forever
ADD SALT BEFORE YOU FRY THE EGG, I'll show you the surface of the heart.
THE RUSH FOR FUNDS REACHED ITS PEAK TUESDAY, Da-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-
THE BIRCH LOOKED STARK WHITE AND LONESOME," That that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right, that's right"
THE BOX IS HELD BY A BRIGHT RED SNAPPER, The dishes are the proper proper crops.
TO MAKE PURE ICE YOU FREEZE WATER, That by rash I saw you
THE FIRST WORM GETS SNAPPED EARLY, This is the path of the crowd.
JUMP THE FENCE AND HURRY UP THE BANK, So the sun should have had the dark.
ON THE ISLANDS THE SEA BREEZE IS SOFT AND MILD, Unparamuch the Shabbat of Shusana.
THE PLAY BEGAN AS SOON AS WE SAT DOWN," Good bravo, everyone."
THIS WILL LEAD THE WORLD TO MORE SOUND AND FURY, I'm sorry.
ADD SALT BEFORE YOU FRY THE EGG," Oh, show the flicker's fracking out."
THE RUSH FOR FUNDS REACHED ITS PEAK TUESDAY," That is your face, that is your face, that is your face."
THE BIRCH LOOKED STARK WHITE AND LONESOME, I'm not sure if I should be able to do that.
THE BOX IS HELD BY A BRIGHT RED SNAPPER, The blue sheds have the power of option.
TO MAKE PURE ICE YOU FREEZE WATER, And that's how you're supposed to be.
THE FIRST WORM GETS SNAPPED EARLY, I feel so much better now.
JUMP THE FINCE AND HURRY UP THE BANK, from the search of the path.
ON THE ISLANDS THE SEA BREEZE IS SOFT AND MILD, The promise to stop the justice of love
THE PLAY BEGAN AS SOON AS WE SAT DOWN, The breath of a nurse from the left was not heard.
THIS WILL LEAD THE WORLD TO MORE SOUND AND FURY, The shadow of the ocean of fire
ADD SALT BEFORE YOU FRY THE EGG, Go to the surface and add
THE RUSH FOR FUNDS REACHED ITS PEAK TUESDAY, The first year of church of Christ was a disaster.
THE BIRCH CANOE SLID ON THE SMOOTH PLANKS, The bridge can be slid on the smooth planks.
GLUE THE SHEET TO THE DARK BLUE BACKGROUND, Glue the sheets to the dark blue background.
IT'S EASY TO TELL THE DEPTH OF A WELL, It's easy to tell the depth of the wow.
THESE DAYS A CHICKEN LEG IS A RARE DISH, These days a chicken lag is a raiderish.
RICE IS OFTEN SERVED IN ROUND BOWLS, Wices often serve divine pearls.
THE JUICE OF LEMONS MAKES FINE PUNCH, The juice of lemons makes fine punch.
THE BOX WAS THROWN BESIDE THE PARKED TRUCK, The box was thrown beside the pocket check.
THE HOGS WERE FED CHOPPED CORN AND GARBAGE, The hogs were fed chopped corn and garbage.
FOUR HOURS OF STEADY WORK FACED US, 4 hours of steady work faced us.
A LARGE SIZE AND STOCKINGS IS HARD TO SELL, A large size in stockings is hard to sell.
THE BOY WAS THERE WHEN THE SUN ROSE, The boy was the one that sun rose.
A ROD IS USED TO CATCH PINK SALMON, A rod is used to catch pink salmon.
THE SOURCE OF THE HUGE RIVER IS THE CLEAR SPRING, The source of the huge river is the clear spring.
KICK THE BALL STRAIGHT AND FOLLOW THROUGH, Kick the ball straight and follow through.
HELP THE WOMAN GET BACK TO HER FEET, Help the woman get back to her feet.
A POT OF TEA HELPS TO PASS THE EVENING, The port of tea helps to pass the evening.
SMOKY FIRES LACK FLAME AND HEAT, Smokey fires lack flame and heat.
THE SOFT CUSHION BROKE THE MAN'S FALL, The shaft cushion broke the man's four.
THE SALT BREEZE CAME ACROSS FROM THE SEA, The short breeze came across from the sea.
THE GIRL AT THE BOOTH SOLD FIFTY BONDS, Again at the booth sold 50 pounds.
THE SMALL PUP GNAWED A HOLE IN THE SACK, A small pipe nor the hole in the sock.
THE FISH TWISTED AND TURNED ON THE BENT HOOK, The fish twisted and turned on the bent hook.
PRESS THE PANTS AND SEW BUTTON ON THE VEST, Press the Pants and Sew it but not the rest.
THE SWAN DIVE WAS FAR SHORT OF PERFECT, The swan dive was far short of perfect.
THE BEAUTY OF THE VIEW STUNED THE YOUNG BOY, The beauty of the view stand the young boy.
TWO BLUE FISH SWAM IN THE TANK, Two blue fish swam in the tank.
HER PURSE WAS FULL OF USELESS TRASH, The purse was full of useless cash.
THE COLT REARED AND THREW THE TALL RIDER, The cold tree had ensued the toy rider.
IT SNOWED, It's snowed.
RAINED, Raint.
AND HAILED THE SAME MORNING, And hail the same morning.
READ VERSE OUT LOUD FOR PLEASURE, Weave the soft cloud for pleasure.
HOIST THE LOAD TO YOUR LEFT SHOULDER, Place the node to your left shoulder.
TAKE THE WINDING PATH TO REACH THE LAKE, Take the winding path to reach the lake.
NOTE CLOSELY THE SIZE OF THE GAS TANK, Note closely the size of the gas tank.
WIPE THE GREASE OFF HIS DIRTY FACE, Like the grease of his dirty face.
MEND THE COAT BEFORE YOU GO OUT, Membracotes before you go out.
THE WRIST WAS BADLY STRAINED AND HUNG LIMP, The wrist was badly strained and hung limp.
THE STRAY CAT GAVE BIRTH TO KITTENS, A stray cat gave birth to kittens.
THE YOUNG GIRL GAVE NO CLEAR RESPONSE, The young girl gave no clear response.
THE MEAL WAS COOKED BEFORE THE BELL RANG, The mirror is cooked before the bell rang.
WHAT JOY THERE IS IN LIVING, What joy there is in living.
A KING RULED THE STATE IN THE EARLY DAYS, A king ruled the state to me early days.
THE SHIP WAS TORN APART ON THE SHARP REEF, The ship was torn apart on the sharp reef.
SICKNESS KEPT HIM HOME THE THIRD WEEK, Sickness Captain Homer Third Week
THE WIDE ROAD SHIMMERED IN THE HOT SUN, The wide road shimmering the hot sun.
THE LAZY COW LAY IN THE COOL GRASS, The lazy cow lay in the cool grass.
LIFT THE SQUARE STONE OVER THE FENCE, Lift this quest down over the fence.
THE ROPE WILL BIND THE SEVEN BOOKS AT ONCE, The rope will bind the seven blocks at once.
HOP OVER THE FENCE AND PLUNGE IN, Hop over the fence and plunge in.
THE FRIENDLY GANG LEFT THE DRUG STORE, Defendly down left to jogstore.
MESH WIRE KEEPS CHICKS INSIDE, Mesh wire keeps chicks inside.
THE FROSTY AIR PASSED THROUGH THE COAT, The frosty air passed through the coat.
THE CROOKED MAZE FAILED TO FOOL THE MOUSE, The crooked maze failed to fool the mouse.
ADDING FAST LEADS TO WRONG SUMS, Adding fast leads to all sums.
THE SHOW WAS A FLOP FROM THE VERY START, The show was a flop from the very start.
A SAW AS A TOOL USED FOR MAKING BOARDS, a soyser tool used for making boards
THE WAGON MOVED ON WELL OILED WHEELS, The wagon moved on well-oiled wheels.
MARCH THE SOLDIERS PAST THE NEXT HILL, March the soldiers past the next hill.
A CUP OF SUGAR MAKES SWEET FUDGE, A cup of sugar makes sweet punch.
PLACE A ROSEBUSH NEAR THE PORCH STEPS, Place a rose brush near the porch steps.
BOTH LOST THEIR LIVES IN THE RAGING STORM, Both lost their lives in the raging storm.
WE TALKED OF THE SIDE SHOW IN THE CIRCUS, We talked to the side show in the circus.
USE A PENCIL TO WRITE THE FIRST DRAFT, Use a pencil to write the first draft.
HE RAN HALFWAY TO THE HARDWARE STORE, He ran half way to the hardwares door.
THE CLOCK STRUCK TO MARK THE THIRD PERIOD, The clock struck to mark the third period.
A SMALL CREEK CUT ACROSS THE FIELD, A small creek cut across the field.
CARS AND BUSSES STALLED IN SNOW DRIFTS, Car zoo buses stored in snow drifts.
THE SET OF CHINA HIT THE FLOOR WITH A CRASH, The sets of China had to flow with the crush.
THIS IS A GRAND SEASON FOR HYKES ON THE ROAD, This is a grand season for hikes on the road.
THE DUNE ROSE FROM THE EDGE OF THE WATER, The dune knows from the edge of the water.
THOSE WORDS WERE THE CUE FOR THE ACTOR TO LEAVE, Those words were the cue for the act to leave.
A YACHT SLID AROUND THE POINT INTO THE BAY, A yacht slid around the point into the bay.
THE TWO MET WHILE PLAYING ON THE SAND, The two met while playing on the sand.
THE INK STAIN DRIED ON THE FINISHED PAGE, The ink stained right on the finished page.
THE WALLED TOWN WAS SEIZED WITHOUT A FIGHT, The wall town was seized without a fight.
THE LEASE RAN OUT IN SIXTEEN WEEKS, The lease ran out in 16 weeks.
A TAME SQUIRREL MAKES A NICE PET, Time Square will make some icepats.
THE HORN OF THE CAR WOKE THE SLEEPING COP, The horn of the car worked the sleeping cop.
THE HEART BEATS STRONGLY AND WITH FIRM STROKES, The heart beats strongly and with them strokes.
THE PEARL WAS WORN IN A THIN SILVER RING, The pearl was worn in a thin cell of the ring.
THE FRUIT PEEL WAS CUT IN THICK SLICES, The fruit peel was cut in thick slices.
THE NAVY ATTACKED THE BIG TASK FORCE, and they they attacked the big task force.
SEE THE CAT GLARING AT THE SCARED MOUSE, See the cat clearing at the scared mouse.
THERE ARE MORE THAN TWO FACTORS HERE, There are more than two factors here.
THE HAT BRIM WAS WIDE AND TOO DROOPY," The hot brim was widened too, Juppie."
THE LAWYER TRIED TO LOSE HIS CASE, Delight tried to lose his case.
THE GRASS CURLED AROUND THE FENCE POST, The glass curled around the fence post.
CUT THE PIE INTO LARGE PARTS, Have to pay into large parts.
MEN STRIVE BUT SELDOM GET RICH, Men's tribe put seldom get rich.
ALWAYS CLOSE THE BARN DOOR TIGHT, Always close the bar door tights.
HE LAY PRONE AND HARDLY MOVED A LIMB, The late permanent hardly moved to limb.
THE SLUSH LAY DEEP ALONG THE STREET, The slush lady prolonged the street.
A WISP OF CLOUD HUNG IN THE BLUE AIR, A whisper cloud hung in the blue air.
A POUND OF SUGAR COSTS MORE THAN EGGS, A pound of sugar costs more than eggs.
THE FIN WAS SHARP AND CUT THE CLEAR WATER, The thing was sharp and cut the clear water.
THE PLAY SEEMS DULL AND QUITE STUPID, The play seems to learn quite stupid.
BAIL THE BOAT TO STOP IT FROM SINKING, Be in the boat to stop it from sinking.
THE TERM ENDED IN LATE JUNE THAT YEAR, The two landed in late tunerchair.
A TUSK USED TO MAKE COSTLY GIFTS, A tusk is used to make costly gifts.
TEN PINS WERE SET IN ORDER, Tempins reset in order.
THE BILL WAS PAID EVERY THIRD WEEK, The bill was paid every third week.
OAK IS STRONG AND ALSO GIVES SHADE, Oak is strong and also gives shade.
CATS AND DOGS EACH HATE THE OTHER, Cats and dogs each hate the other.
THE PIPE BEGAN TO RUST WHILE NEW, The pipe began to rust while new.
OPEN THE CRATE BUT DON'T BREAK THE GLASS, Open the crates but don't break the glass.
ADD THE SUM TO THE PRODUCT OF THESE THREE, Add the sum to the product of these three.
THIEVES WHO ROB FRIENDS DESERVE JAIL, Fivesu Rob Friends deserve jail.
THE RIPE TASTE OF CHEESE IMPROVES WITH AGE, The light taste of cheese improves with age.
ACT ON THESE ORDERS WITH GREAT SPEED, Akhtami's orders with great speed.
THE HOG CRAWLED UNDER THE HIGH FENCE, The hot cord end of the high fence.
MOVE THE VAT OVER THE HOT FIRE, Move the battery with a hot fire.
THE BARK OF THE PINE TREE WAS SHINY AND DARK, The back of the pudding tree was shiny and dark.
LEAVES TURN BROWN AND YELLOW IN THE FALL, Leaves turned brown and yellow in the form.
THE PENNANT WAVED WHEN THE WIND BLEW, The pen and draved round the wind glue.
SPLIT THE LOG WITH A QUICK, Split the log with a quick.
SHARP BLOW, Shopplum
BURN PEAT AFTER THE LOGS GIVE OUT, Burn Pete after the logs give out.
HE ORDERED PEACH PIE WITH ICE CREAM," Be ordered, pitch-py with ice cream."
WEAVE THE CARPET ON THE RIGHT HAND SIDE, We've the carpet on the right-hand side.
HEMP IS A WEED FOUND IN PARTS OF THE TROPICS, Hem is a weird found in parts of the Choppicks.
A LAME BACK KEPT HIS SCORE LOW, A layman back kept his score no.
WE FIND JOY IN THE SIMPLEST THINGS, We find join the simplest things.
TYPE OUT THREE LISTS OF ORDERS, Type out three lists of orders.
THE HARDER HE TRIED THE LESS HE GOT DONE, The harder he tried the less he got them.
THE BOSS RAN THE SHOW WITH A WATCHFUL EYE, The boss ran the show with a watchful eye.
THE CUP CRACKED AND SPILLED ITS CONTENTS, The Cap cracked and spelled its contents.
PASTE CAN CLEANSE THE MOST DIRTY BRASS, Paste can cleanse the most dirty brass.
THE SLANG WORD FOR RAW WHISKY IS BOOZE, The slang word for long rescues please.
IT CAUGHT ITS HIND PAW IN A RUSTY TRAP, It caught its hand pour in a rusty jump.
THE WHARF COULD BE SEEN AT THE FARTHER SHORE, The wolf could be seen at the father's shore.
FEEL THE HEAT OF THE WEAK DYING FLAME, Feel the heat of the weak dying flame.
THE TINY GIRL TOOK OFF HER HAT, The tiny girl took off the hat.
A CRAMP IS NO SMALL DANGER ON A SWIN, A cramp is no small danger on a swim.
HE SAID THE SAME PHRASE THIRTY TIMES, He said the same phrase 30 times.
PLUCK THE BRIGHT ROSE WITHOUT LEAVES, Plug the bright rows without leaves.
TWO PLUS SEVEN IS LESS THAN TEN, 2 plus 7 is less than 10.
THE GLOW DEEPENED IN THE EYES OF THE SWEET GIRL, The glow deep into the eyes of the sweet girl.
BRING YOUR PROBLEMS TO THE WISE CHIEF, Bring your problems to the wise chief.
WRITE A FOND NOTE OF THE FRIEND YOU CHERISH, Why to fond note to the friend you cherish?
CLOTHES AND LODGING ARE FREE TO NEW MEN, Clothes and lodging are free to new men.
WE FROWN WHEN EVENTS TAKE A BAD TURN, We found when events take about ten.
PORT IS A STRONG WINE WITH A SMOKY TASTE, What is a strong wine with a smoky taste?
THE YOUNG KID JUMPED THE RUSTY GATE, The young kid jumped the rust to get.
GUESS THE RESULT FROM THE FIRST SCORES, Gasper is out from the first scores.
A SALT PICKLE TASTES FINE WITH HAM, A shock pickle tastes fine with ham.
THE JUST CLAIM GOT THE RIGHT VERDICT, The Jess Claim got the right verdict.
THOSE THISTLES BEND IN A HIGH WIND, Those pistols bend in a high wind.
PURE BRED POODLES HAVE CURLS, P.B.R.D. Poo-Daz of Kills
THE TREE TOP WAVED IN A GRACEFUL WAY, The tree top wave didn't grace her way.
THE SPOT ON THE BLOTTER WAS MADE BY GREEN INK, The spot on the plotter was made by a cleaning.
MUD WAS SPATTERED ON THE FRONT OF HIS WHITE SHIRT, My was spotted on the front of his white shit.
THE CIGAR BURNED A HOLE IN THE DESK TOP, The cigar burned hole in the desktop.
THE EMPTY FLASK STOOD ON THE TIN TRAY, The empty flusks stood on the tin tray.
A SPEEDY MAN CAN BEAT THIS TRACK MARK, A speedy man can beat this shark mark.
HE BROKE A NEW SHOELACE THAT DAY, It broke initialized today.
THE COFFEE STAND IS TOO HIGH FOR THE COUCH, The coffee stand is too high for the couch.
THE URGE TO WRITE SHORT STORIES IS RARE, The urge to write short stories is rare.
THE PENCILS HAVE ALL BEEN USED, The pencils have all been used.
THE PIRATES SEIZED THE CREW OF THE LOST SHIP, The pilot sees the crew of the last ship.
WE TRIED TO REPLACE THE COIN BUT FAILED, We try to replace the coin that failed.
SHE SEWED THE TORN COAT QUITE NEATLY, She sewed the torn coat quite neatly.
THE SOFA CUSHION IS RED AND OF LIGHT WEIGHT, The sofa cushion is red in the light weight.
THE JACKET HUNG ON THE BACK OF THE WIDE CHAIR, The jacket's hung on the back of the white chair.
AT THAT HIGH LEVEL THE AIR IS PURE, At this high level the air is pure.
DROP THE TWO WHEN YOU ADD THE FIGURES, Drop the two where new up the figures.
A FILING CASE IS NOW HARD TO BUY, The filing case is now hard to buy.
AN ABRUPT START DOES NOT WIN THE PRIZE, An abrupt start has not been the prize.
WHIT IS BEST FOR MAKING TOYS AND BLOCKS, What is best for making ties and blocks?
THE OFFICE PAINT WAS DULL, The office paint was a down.
SAID DAN, saddrum
HE KNEW THE SKILL OF A GREAT YOUNG ACTRESS, He knew the skill of the great young actress.
A RAG WILL SOAK UP SPILLED WATER, And Rhyg will show Cap's build water.
A SHOWER OF DIRT FELL FROM THE HOT PIPES, A shower of dirt fell from the hot pipes.
STEAM HIST FROM THE BROKEN VALVE, Steam hist from the broken valve.
THE CHILD ALMOST HURT THE SMALL DOG, The child almost hit a small dog.
THERE WAS A SOUND OF DRY LEAVES OUTSIDE, It was a sound of dry leaves outside.
THE SKY THAT MORNING WAS CLEAR AND BRIGHT BLUE, The sky that morning was clear and bright blue.
TORN SCRAPS LITTERED THE STONE FLOOR, Tonscrap slitted stone floor.
SUNDAY IS THE BEST PART OF THE WEEK, Sunday is the best part of the week.
THE DOCTOR CURED HIM WITH THESE PILLS, The dock took you and him with these pills.
THE NEW GIRL WAS FIRED TODAY AT NOON, The new girl was fired today at noon.
THEY FELT GAY WHEN THE SHIP ARRIVED IN PORT, They felt gay when the ship arrived in port.
ADD THE STORE'S ACCOUNT TO THE LAST CENT, Add the store's account to the last cent.
ACID BURNS HOLES IN WOOL CLOTH, Acid burns holes in woke up.
FAIRY TALES SHOULD BE FUN TO WRITE, Fairy tales should be found to write.
EIGHT MILES OF WOODLAND BURN TO WASTE, 8 miles of woodland burned to waste
THE THIRD ACT WAS DULL AND TIRED THE PLAYERS, The third act was done and tired the players.
A YOUNG CHILD SHOULD NOT SUFFER FRIGHT, A young child should not suffer fright.
ADD THE COLUMN AND PUT THE SUM HERE, Add the column and put this some here.
WE ADMIRE AND LOVE A GOOD COOK, We had Maya and Lavra good cook.
THERE THE FLOOD MARK IS TEN INCHES, Be of a flood mark his ten inches.
HE CARVED A HEAD FROM THE ROUND BLOCK OF MARBLE, You carved a head from the round block of marble.
SHE HAS A SMART WAY OF WEARING CLOTHES, She has a smart way of wearing clothes.
THE FRUIT OF A FIG TREE IS APPLE SHAPED, The fruits of a fig tree is apple shaped.
CORN COBS CAN BE USED TO KINDLE A FIRE, Corncops can be used to kindle a fire.
WHERE WERE THEY WHEN THE NOISE STARTED, Where were they when the noise started?
THE PAPER BOX IS FULL OF THUMB TACKS, The paper box is full of thumbtacks.
SELL YOUR GIFT TO A BUYER AT A GOOD GAIN, Sell your gift for a buy at your good game.
THE TONGS LAY BESIDE THE ICE PAIL, The tongs labricide the ice pale.
THE PETALS FALL WITH THE NEXT PUFF OF WIND, The packers fall over the maxed puff of wind.
BRING YOUR BEST COMPASS TO THE THIRD CLASS, Bring your best compass to the Faye class.
THEY COULD LAUGH ALTHOUGH THEY WERE SAD, It could laugh while they were sad.
FARMERS CAME IN TO THRESH THE OAT CROP, Farmers came into flesh the old crop.
THE BROWN HOUSE WAS ON FIRE TO THE ATTIC, The brown house was on fire to the attic.
THE LURE IS USED TO CATCH TROUT AND FLOUNDER, Your is used to catch charton flound.
FLOAT THE SOAP ON TOP OF THE BATH WATER, Make the soup on top of the bath water.
A BLUE CRANE IS A TALL WADING BIRD, A blue crane is a tall-wading bird.
A FRESH START WILL WORK SUCH WONDERS, A fresh start will work such wonders.
THE CLUB RENTED THE RINK FOR THE FIFTH NIGHT, The car ran to the ring for the fifth night.
AFTER THE DANCE, After the dance.
THEY WENT STRAIGHT HOME, They went straight home.
THE HOST HAS TAUGHT THE NEW MAID TO SERVE, The hostess taught the new mate to serve.
HE WROTE HIS LAST NOVEL THERE AT THE INN, He wrote his last novel there at the end.
EVEN THE WORST WILL BEAT HIS LOW SCORE, Even the worst for beat is low score.
THE CEMENT HAD DRIED WHEN HE MOVED IT, to cement the dried when he moved it.
THE LOSS OF THE SECOND SHIP WAS HARD TO TAKE, The loss of the second ship was hard to take.
THE FLY MADE ITS WAY ALONG THE WALL, The fly made its way along the wall.
DO THAT WITH A WOODEN STICK, to that grave a wooden stick.
LIVE WIRES SHOULD BE KEPT COVERED, LiveWayers should be kept covered.
THE LARGE HOUSE HAD HOT WATER TAPS, The large house should hot water taps.
IT IS HARD TO ERASE BLUE OR RED INK, It is hard to erase blue red ink.
WRITE AT ONCE OR YOU MAY FORGET IT, Like to one saw you may forget this.
THE DOOR KNOB WAS MADE OF BRIGHT CLEAN BRASS, The door knob was made of bright clean brass.
THE WRECK OCCURRED BY THE BANK ON MAIN STREET, The record paid by the bank on Main Street.
A PENCIL WITH BLACK LEAD WRITES BEST, A pencil with blackly white spest.
COAX IS A YOUNG CALF TO DRINK FROM A BUCKET, Cokes are young calf to drink from a bucket.
SCHOOLS FOR LADIES TEACH CHARM AND GRACE, Schools for ladies teach charming grace.
THE LAMP SHONE WITH A STEADY GREEN FLAME, The lamp shone with a steady green flame.
THEY TOOK THE AXE AND THE SAW OF THE FOREST, They took the axe in the sword to the forest.
THE ANCIENT COIN WAS QUITE DULL AND WORN, The ancient coin was quite deland warm.
THE SHAKY BARN FELL WITH A LOUD CRASH, The shaky barn fell with a loud crush.
JAZZ AND SWING FANS LIKE FAST MUSIC, Chosen swing funds like Fost Music.
RAKE THE RUBBISH UP AND THEN BURN IT, Break the rubbish up and then burn it.
SLASH THE GOLD CLOTH INTO FINE RIBBONS, Slash the gold cloth into fine ribbons.
TRY TO HAVE THE COURT DECIDE THE CASE, Try to have the court decide the case.
THEY ARE PUSHED BACK EACH TIME THEY ATTACK, They are pushed back each time they attack.
HE BROKE HIS TIES WITH GROUPS OF FORMER FRIENDS, He broke his ties with groups of former friends.
THEY FLOATED ON THE RAFT TO SUN THEIR WHITE BACKS, Be floated on the raft to some new white backs.
THE MAP HAD AN X THAT MEANT NOTHING, The map had an extra thing.
WHITINGS ARE SMALL FISH CAUGHT IN NETS, White things are small fish caught in nets.
SOME ADS SERVE TO CHEAT BUYERS, some ads serve to cheat buyers
JERK THE ROPE IN THE BELL RINGS WEAKLY, Check the rope in the ball rings weekly.
A WAXED FLOOR MAKES US LOSE BALANCE, A waxed floor makes a loose balance.
MADAM, Not him.
THIS IS THE BEST BRAND OF CORN, This is the best bround of corn.
ON THE ISLANDS THE SEA BREEZE IS SOFT AND MILD," On the islands, the sea breeze is soft and mild."
THE PLAY BEGAN AS SOON AS WE SAT DOWN, The play began as soon as we sat down.
THIS WILL LEAD THE WORLD TO MORE SOUND AND FURY, This will lead the world to more sound and fury.
ADD SALT BEFORE YOU FRY THE EGG, That's all to be for you 5 egg.
THE RUSH FOR FUNDS REACHED ITS PEAK TUESDAY, The rush from Zreech to its peak Tuesday.
THE BIRCH LOOKED STARK WHITE AND LONESOME, The bridge looked stark quite in Lonesome.
THE BOX IS HELD BY A BRIGHT RED SNAPPER, The box is held by a bright red snapper.
TO MAKE PURE ICE, To make pure rice.
YOU FREEZE WATER, You freeze water.
THE FIRST WORM GETS SNAPPED EARLY, The first worm gets smacked early.
JUMP THE FENCE AND HURRY UP THE BANK, Jump the fence and hurry up the bank.
YELL AN CLAP AS THE CURTAIN SLIDES BACK, The island cloppers the curtain slide spark.
THEY ARE MEN WHO WALK THE MIDDLE OF THE ROAD, Be a man who walks the middle of the road.
BOTH BROTHERS WERE THE SAME SIZE, Both brothers weigh the same size.
IN SOME FORM OR OTHER WE NEED FUN, In some form or other we need fun.
